Page,Sequence,DefaultImage,RorV,Label
urn:cite:bsb:cg427.29v,65,urn:cite:bsb:muncg427img.MunCG427_img65,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 29,verso"
urn:cite:bsb:cg427.30r,66,urn:cite:bsb:muncg427img.MunCG427_img66,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 30,recto"
urn:cite:bsb:cg427.30v,67,urn:cite:bsb:muncg427img.MunCG427_img67,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 30,verso"
urn:cite:bsb:cg427.31r,68,urn:cite:bsb:muncg427img.MunCG427_img68,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 31,recto"
urn:cite:bsb:cg427.31v,69,urn:cite:bsb:muncg427img.MunCG427_img69,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 31,verso"
urn:cite:bsb:cg427.32r,70,urn:cite:bsb:muncg427img.MunCG427_img70,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 32,recto"
urn:cite:bsb:cg427.32v,71,urn:cite:bsb:muncg427img.MunCG427_img71,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 32,verso"
urn:cite:bsb:cg427.33r,72,urn:cite:bsb:muncg427img.MunCG427_img72,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 33,recto"
urn:cite:bsb:cg427.33v,73,urn:cite:bsb:muncg427img.MunCG427_img73,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 33,verso"
urn:cite:bsb:cg427.34r,74,urn:cite:bsb:muncg427img.MunCG427_img74,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 34,recto"
urn:cite:bsb:cg427.34v,75,urn:cite:bsb:muncg427img.MunCG427_img75,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 34,verso"
urn:cite:bsb:cg427.35r,76,urn:cite:bsb:muncg427img.MunCG427_img76,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 35,recto"
urn:cite:bsb:cg427.35v,77,urn:cite:bsb:muncg427img.MunCG427_img77,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 35,verso"
urn:cite:bsb:cg427.36r,78,urn:cite:bsb:muncg427img.MunCG427_img78,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 36,recto"
urn:cite:bsb:cg427.36v,79,urn:cite:bsb:muncg427img.MunCG427_img79,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 36,verso"
urn:cite:bsb:cg427.37r,80,urn:cite:bsb:muncg427img.MunCG427_img80,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 37,recto"
