folioStart,folioEnd,proposition,label
172v,173r,9.propositions.27,27
173r,173r,9.propositions.28,28
173r,173r,9.propositions.29,29
173v,173v,9.propositions.30,30
173v,174r,9.propositions.31,31
174r,174r,9.propositions.32,32
174r,174v,9.propositions.33,33
174v,174v,9.propositions.34,34
175r,175v,9.propositions.35,35
175v,176v,9.propositions.36,36
177r,177r,10.definitions.1,
177r,178r,10.propositions.1,1
178r,178v,10.propositions.1.other,
178v,179r,10.propositions.2,2
179r,179v,10.propositions.3,3
179v,180r,10.propositions.4,4
180r,180v,10.propositions.5,5
180v,181v,10.propositions.6,6
182r,182r,10.propositions.7,7
182r,182r,10.propositions.8,8
182r,184r,10.propositions.9,9
184r,185r,10.propositions.9.other,
185r,185v,10.propositions.10,10
185v,186r,10.propositions.11,11
186r,186v,10.propositions.12,12
186v,187r,10.propositions.unknown,13
187r,187r,10.propositions.13,14
187r,187v,10.propositions.13.lemma,15
187v,188r,10.propositions.14,16
188r,188v,10.propositions.15,17
188v,189r,10.propositions.16,18
189r,189v,10.propositions.16.lemma,
189v,190v,10.propositions.17,19
190v,192r,10.propositions.18,20
192r,192r,10.propositions.19,19
192r,192v,10.propositions.20,20
192v,193r,10.propositions.21,21
193r,193v,10.propositions.21.lemma,
193v,194r,10.propositions.22,22
194r,195r,10.propositions.23,23
195r,195r,10.propositions.24,24
195r,196r,10.propositions.25,25
196r,196v,10.propositions.26,26
196v,197r,10.propositions.27,27
197r,197v,10.propositions.28,28
197v,198r,10.propositions.28.lemma,
198r,198v,10.propositions.28.lemma,
199r,199v,10.propositions.29,29
199v,200r,10.propositions.30,30
200r,200v,10.propositions.31,31
200v,201r,10.propositions.32,32
201r,202r,10.propositions.32.lemma,
202r,202v,10.propositions.33,33
202v,203r,10.propositions.34,34
203r,203v,10.propositions.35,35
204r,204r,10.propositions.36,36
204r,204v,10.propositions.37,37
204v,205r,10.propositions.38,38
205v,206r,10.propositions.39,39
206r,206r,10.propositions.40,40
206r,207r,10.propositions.41,41
207r,207v,10.propositions.41.lemma,lemma
207v,208r,10.propositions.42,42
208r,208r,10.propositions.43,43
208r,209r,10.propositions.44,44
209r,209v,10.propositions.45,45
209v,210r,10.propositions.46,46
210r,210v,10.propositions.47,47
210v,211r,10.definitions.2,48
211r,212r,10.propositions.48,48
212r,212v,10.propositions.49,49
212v,213v,10.propositions.50,50
214r,214v,10.propositions.51,51
214v,215r,10.propositions.52,52
215r,216r,10.propositions.53,53
216r,216v,10.propositions.53.lemma,lemma
217r,218r,10.propositions.54,54
218r,219r,10.propositions.55,55
219r,219v,10.propositions.56,56
220r,220v,10.propositions.57,57
220v,221r,10.propositions.58,58
221v,221v,10.propositions.59,59
222r,222r,10.propositions.59.lemma,lemma
222r,223r,10.propositions.60,60
223r,224r,10.propositions.61,61
224r,224v,10.propositions.62,62
224v,225r,10.propositions.63,63
225r,226r,10.propositions.64,64
226r,226v,10.propositions.65,65
226v,227r,10.propositions.66,66
227r,228r,10.propositions.67,67
228r,228v,10.propositions.68,68
228v,229r,10.propositions.69,69
229r,229v,10.propositions.70,70
229v,230v,10.propositions.71,71
230v,232r,10.propositions.72,72
232v,232v,10.propositions.73,73
232v,233r,10.propositions.74,74
233r,234r,10.propositions.75,75
234r,234r,10.propositions.76,76
234r,234v,10.propositions.77,77
234v,235v,10.propositions.78,78
235v,235v,10.propositions.79,79
236r,236v,10.propositions.80,80
236v,237v,10.propositions.81,81
237v,237v,10.propositions.82,82
238r,238v,10.propositions.83,83
238v,239v,10.propositions.84,84
239v,239v,10.definitions.3,85
239v,240v,10.propositions.85,85
240v,241r,10.propositions.86,86
241r,242r,10.propositions.87,87
242r,243r,10.propositions.88,88
243r,243v,10.propositions.89,89
243v,244v,10.propositions.90,90
244v,244v,10.propositions.unknown,91
245r,246r,10.propositions.91,92
246r,247r,10.propositions.92,93
247v,248v,10.propositions.93,94
248v,249v,10.propositions.94,95
250r,250v,10.propositions.95,96
251r,251v,10.propositions.96,97
252r,253r,10.propositions.97,98
253r,254r,10.propositions.98,99
254r,255r,10.propositions.99,100
255r,256r,10.propositions.100,101
256r,257r,10.propositions.101,102
257r,258r,10.propositions.102,103
258r,259r,10.propositions.103,104
259r,259v,10.propositions.104,105
259v,260r,10.propositions.105,106
260r,260v,10.propositions.106,107
260v,260v,10.propositions.107,108
261r,261v,10.propositions.108,109
261v,262r,10.propositions.109,110
262r,262v,10.propositions.110,111
262v,263v,10.propositions.111,112
263v,264r,10.propositions.112,113
264r,265r,10.propositions.113,114
265r,266v,10.propositions.114,115
266v,267r,10.propositions.115,116
267r,267v,10.propositions.unknown,117
267v,268r,10.propositions.unknown,117.other
268r,269r,10.propositions.unknown,118
268r,268r,10.propositions.unknown,119 (in scholia)
269r,269v,10.propositions.unknown,120
269v,270r,10.propositions.unknown,121
270r,270r,10.propositions.unknown,122
270r,270r,10.propositions.unknown,123
270v,271v,11.definitions,
271v,272r,11.propositions.1,1
272r,272v,11.propositions.2,2
272v,272v,11.propositions.3,3
272v,273v,11.propositions.4,4
273v,274r,11.propositions.5,5
274r,275r,11.propositions.6,6
275r,275v,11.propositions.7,7
275v,276v,11.propositions.8,8
276v,276v,11.propositions.9,9
276v,277r,11.propositions.10,10
277v,278r,11.propositions.11,11
278r,278v,11.propositions.12,12
278v,279r,11.propositions.13,13
279r,279v,11.propositions.14,14
279v,280r,11.propositions.15,15
280r,280v,11.propositions.16,16
280v,281r,11.propositions.17,17
281r,282r,11.propositions.18,18
282r,282v,11.propositions.19,19
282v,283r,11.propositions.20,20
283r,283v,11.propositions.21,21
283v,284r,11.propositions.22,22
284v,285r,11.propositions.22.other,other
285r,288v,11.propositions.23,23
288v,289r,11.propositions.23.lemma,lemma
289r,289v,11.propositions.24,24
289v,290r,11.propositions.25,25
290v,291v,11.propositions.26,26
291v,292r,11.propositions.27,27
292v,292v,11.propositions.28,28
292v,293v,11.propositions.29,29
293v,294r,11.propositions.30,30
294r,295v,11.propositions.31,31
296r,296r,11.propositions.32,32
296v,297v,11.propositions.33,33
297v,300r,11.propositions.34,34
300v,302r,11.propositions.35,35
302r,303r,11.propositions.36,36
303r,,11.propositions.37,37
,305r,11.propositions.38,38
305r,305v,11.propositions.39,39
306r,306v,12.propositions.1,1
306v,309r,12.propositions.2,2
309r,311r,12.propositions.3,3
311r,312v,12.propositions.4,4
313r,314r,12.propositions.5,5
314r,315r,12.propositions.6,6
315r,316r,12.propositions.7,7
316r,317r,12.propositions.8,8
317r,318v,12.propositions.9,9
318v,321r,12.propositions.10,10
321r,322v,12.propositions.11,11
323r,325v,12.propositions.12,12
325v,326v,12.propositions.13,13
326v,327r,12.propositions.14,14
327r,328r,12.propositions.15,15
328v,329r,12.propositions.16,16
329r,332v,12.propositions.17,17
332v,333v,12.propositions.18,18
334r,334v,13.propositions.1,1
334v,335v,13.propositions.2,2
335v,336r,13.propositions.3,3
336r,337r,13.propositions.4,4
337r,337v,13.propositions.5,5
337v,341r,13.propositions.6,6
341r,342r,13.propositions.7,7
342r,342v,13.propositions.8,8
342v,343v.13.propositions.9,9
343v,344v,13.propositions.10,10
345r,356v,13.propositions.11,11
346v,347r,13.propositions.12,12
347r,348v,13.propositions.13,13
348v,349r,13.propositions.13.lemma,lemma
349r,350r,13.propositions.14,14
350v,351r,13.propositions.15,15
351v,13.propositions.16,16 
,,13.propositions.17,17 (folios 356r-365v DNE)
,369r,13.propositions.18,18
369r,,13.propositions.18.other,other

